position,sample_index,relative_path,class_name,class_index
0,3621,train/disgust/5_image0038476.jpg,disgust,2
1,7548,train/neutral/5_ffhq_4696.png,neutral,5
2,6418,train/neutral/10_ffhq_158.png,neutral,5
3,978,train/anger/5_image0016786.jpg,anger,0
4,2527,train/contempt/5_image0042061.jpg,contempt,1
5,79,train/anger/10_image0010992.jpg,anger,0
6,1533,train/contempt/10_image0037770.jpg,contempt,1
7,7470,train/neutral/5_ffhq_393.png,neutral,5
8,4317,train/fear/15_image0032560.jpg,fear,3
9,10062,train/surprise/5_image0027645.jpg,surprise,7
10,3052,train/disgust/15_image0030414.jpg,disgust,2
11,8958,train/surprise/10_ffhq_151.png,surprise,7
12,1120,train/anger/5_image0024344.jpg,anger,0
13,1863,train/contempt/15_image0035243.jpg,contempt,1
14,3360,train/disgust/15_image0042468.jpg,disgust,2
15,8895,train/sad/5_image0028473.jpg,sad,6
16,2268,train/contempt/5_image0032887.jpg,contempt,1
17,5255,train/happy/10_ffhq_289.png,happy,4
18,5006,train/fear/5_image0039834.jpg,fear,3
19,2896,train/disgust/10_image0040679.jpg,disgust,2
20,4965,train/fear/5_image0038826.jpg,fear,3
21,9328,train/surprise/10_image0033898.jpg,surprise,7
22,8530,train/sad/5_image0000145.jpg,sad,6
23,6008,train/happy/5_ffhq_1610.png,happy,4
24,2230,train/contempt/5_image0030888.jpg,contempt,1
25,9375,train/surprise/15_ffhq_260.png,surprise,7
26,3366,train/disgust/15_image0042550.jpg,disgust,2
27,5018,train/fear/5_image0040117.jpg,fear,3
28,6796,train/neutral/10_image0031787.jpg,neutral,5
29,3414,train/disgust/5_image0020546.jpg,disgust,2
30,7502,train/neutral/5_ffhq_4224.png,neutral,5
31,404,train/anger/10_image0029254.jpg,anger,0
32,3402,train/disgust/5_image0017409.jpg,disgust,2
33,8837,train/sad/5_image0026295.jpg,sad,6
34,9597,train/surprise/15_image0026005.jpg,surprise,7
35,3987,train/fear/10_image0035876.jpg,fear,3
36,4739,train/fear/5_image0031222.jpg,fear,3
37,9385,train/surprise/15_ffhq_352.png,surprise,7
38,2770,train/disgust/10_image0036683.jpg,disgust,2
39,6643,train/neutral/10_ffhq_4459.png,neutral,5
40,10155,train/surprise/5_image0032136.jpg,surprise,7
41,1488,train/contempt/10_image0036414.jpg,contempt,1
42,5752,train/happy/15_ffhq_3570.png,happy,4
43,3677,train/disgust/5_image0040517.jpg,disgust,2
44,3566,train/disgust/5_image0036716.jpg,disgust,2
45,5347,train/happy/10_ffhq_3937.png,happy,4
46,7733,train/sad/10_image0007651.jpg,sad,6
47,7172,train/neutral/15_ffhq_60.png,neutral,5
48,868,train/anger/5_image0002725.jpg,anger,0
49,685,train/anger/15_image0023829.jpg,anger,0
50,3183,train/disgust/15_image0037367.jpg,disgust,2
51,8933,train/sad/5_image0029795.jpg,sad,6
52,6416,train/neutral/10_ffhq_1568.png,neutral,5
53,4003,train/fear/10_image0036340.jpg,fear,3
54,6200,train/happy/5_ffhq_3598.png,happy,4
55,3514,train/disgust/5_image0035136.jpg,disgust,2
56,973,train/anger/5_image0016392.jpg,anger,0
57,7491,train/neutral/5_ffhq_4086.png,neutral,5
58,7174,train/neutral/15_ffhq_61.png,neutral,5
59,5077,train/happy/10_ffhq_1156.png,happy,4
60,3787,train/fear/10_image0008214.jpg,fear,3
61,2067,train/contempt/15_image0041448.jpg,contempt,1
62,8547,train/sad/5_image0003434.jpg,sad,6
63,2869,train/disgust/10_image0039595.jpg,disgust,2
