framework,seed,epoch,schedule_index,batch_index,position_in_batch,sample_index,relative_path
pytorch,42,1,0,1,0,1166,train/anger/5_image0026817.jpg
pytorch,42,1,0,1,1,9194,train/surprise/10_image0027010.jpg
pytorch,42,1,0,1,2,4512,train/fear/15_image0039038.jpg
pytorch,42,1,0,1,3,6029,train/happy/5_ffhq_1899.png
pytorch,42,1,0,1,4,7141,train/neutral/15_ffhq_5213.png
pytorch,42,1,0,1,5,5052,train/fear/5_image0040795.jpg
pytorch,42,1,0,1,6,4641,train/fear/5_image0015432.jpg
pytorch,42,1,0,1,7,151,train/anger/10_image0017335.jpg
pytorch,42,1,0,1,8,8544,train/sad/5_image0002304.jpg
pytorch,42,1,0,1,9,2350,train/contempt/5_image0036621.jpg
pytorch,42,1,0,1,10,6656,train/neutral/10_ffhq_4639.png
pytorch,42,1,0,1,11,9515,train/surprise/15_image0018169.jpg
pytorch,42,1,0,1,12,9756,train/surprise/15_image0033330.jpg
pytorch,42,1,0,1,13,5537,train/happy/15_ffhq_139.png
pytorch,42,1,0,1,14,5171,train/happy/10_ffhq_1997.png
pytorch,42,1,0,1,15,9399,train/surprise/15_ffhq_433.png
pytorch,42,1,0,1,16,8931,train/sad/5_image0029777.jpg
pytorch,42,1,0,1,17,2876,train/disgust/10_image0039774.jpg
pytorch,42,1,0,1,18,6430,train/neutral/10_ffhq_1694.png
pytorch,42,1,0,1,19,7130,train/neutral/15_ffhq_5045.png
pytorch,42,1,0,1,20,6379,train/neutral/10_ffhq_115.png
pytorch,42,1,0,1,21,190,train/anger/10_image0019225.jpg
pytorch,42,1,0,1,22,10247,train/surprise/5_image0034846.jpg
pytorch,42,1,0,1,23,3774,train/disgust/5_image0042519.jpg
pytorch,42,1,0,1,24,3264,train/disgust/15_image0040011.jpg
pytorch,42,1,0,1,25,5465,train/happy/10_ffhq_67.png
pytorch,42,1,0,1,26,2598,train/disgust/10_image0020062.jpg
pytorch,42,1,0,1,27,7448,train/neutral/5_ffhq_3767.png
pytorch,42,1,0,1,28,4554,train/fear/15_image0039987.jpg
pytorch,42,1,0,1,29,5299,train/happy/10_ffhq_3366.png
pytorch,42,1,0,1,30,7527,train/neutral/5_ffhq_4411.png
pytorch,42,1,0,1,31,7812,train/sad/10_image0017473.jpg
pytorch,42,1,0,2,0,4268,train/fear/15_image0028130.jpg
pytorch,42,1,0,2,1,6080,train/happy/5_ffhq_2528.png
pytorch,42,1,0,2,2,4186,train/fear/15_image0004362.jpg
pytorch,42,1,0,2,3,8786,train/sad/5_image0023623.jpg
pytorch,42,1,0,2,4,6360,train/happy/5_ffhq_956.png
pytorch,42,1,0,2,5,424,train/anger/10_image0030375.jpg
pytorch,42,1,0,2,6,286,train/anger/10_image0023193.jpg
pytorch,42,1,0,2,7,9283,train/surprise/10_image0032673.jpg
pytorch,42,1,0,2,8,6297,train/happy/5_ffhq_4632.png
pytorch,42,1,0,2,9,5455,train/happy/10_ffhq_6.png
pytorch,42,1,0,2,10,9499,train/surprise/15_image0015263.jpg
pytorch,42,1,0,2,11,2610,train/disgust/10_image0023229.jpg
pytorch,42,1,0,2,12,832,train/anger/15_image0030447.jpg
pytorch,42,1,0,2,13,5281,train/happy/10_ffhq_3139.png
pytorch,42,1,0,2,14,2464,train/contempt/5_image0040814.jpg
pytorch,42,1,0,2,15,9589,train/surprise/15_image0024667.jpg
pytorch,42,1,0,2,16,8401,train/sad/15_image0027160.jpg
pytorch,42,1,0,2,17,3594,train/disgust/5_image0037496.jpg
pytorch,42,1,0,2,18,6165,train/happy/5_ffhq_3220.png
pytorch,42,1,0,2,19,9833,train/surprise/5_ffhq_157.png
pytorch,42,1,0,2,20,6437,train/neutral/10_ffhq_1780.png
pytorch,42,1,0,2,21,9852,train/surprise/5_ffhq_406.png
pytorch,42,1,0,2,22,6647,train/neutral/10_ffhq_4536.png
pytorch,42,1,0,2,23,8896,train/sad/5_image0028484.jpg
pytorch,42,1,0,2,24,4780,train/fear/5_image0033067.jpg
pytorch,42,1,0,2,25,3923,train/fear/10_image0033761.jpg
pytorch,42,1,0,2,26,3950,train/fear/10_image0035047.jpg
pytorch,42,1,0,2,27,6740,train/neutral/10_ffhq_5596.png
pytorch,42,1,0,2,28,9524,train/surprise/15_image0018975.jpg
pytorch,42,1,0,2,29,8108,train/sad/15_image0005639.jpg
pytorch,42,1,0,2,30,320,train/anger/10_image0025593.jpg
pytorch,42,1,0,2,31,6680,train/neutral/10_ffhq_4890.png
pytorch,42,1,0,3,0,8011,train/sad/10_image0028302.jpg
pytorch,42,1,0,3,1,5376,train/happy/10_ffhq_4274.png
pytorch,42,1,0,3,2,1470,train/contempt/10_image0035762.jpg
pytorch,42,1,0,3,3,7484,train/neutral/5_ffhq_407.png
pytorch,42,1,0,3,4,5264,train/happy/10_ffhq_2979.png
pytorch,42,1,0,3,5,4231,train/fear/15_image0021218.jpg
pytorch,42,1,0,3,6,1401,train/contempt/10_image0031100.jpg
pytorch,42,1,0,3,7,724,train/anger/15_image0025390.jpg
pytorch,42,1,0,3,8,2914,train/disgust/10_image0041224.jpg
pytorch,42,1,0,3,9,7997,train/sad/10_image0027534.jpg
pytorch,42,1,0,3,10,9250,train/surprise/10_image0030976.jpg
pytorch,42,1,0,3,11,8718,train/sad/5_image0018863.jpg
pytorch,42,1,0,3,12,7983,train/sad/10_image0027189.jpg
pytorch,42,1,0,3,13,10207,train/surprise/5_image0033730.jpg
