framework,seed,epoch,schedule_index,batch_index,position_in_batch,sample_index,relative_path
keras,2026,8,7,1,0,623,train/anger/15_image0020825.jpg
keras,2026,8,7,1,1,5437,train/happy/10_ffhq_4893.png
keras,2026,8,7,1,2,5655,train/happy/15_ffhq_2458.png
keras,2026,8,7,1,3,127,train/anger/10_image0015819.jpg
keras,2026,8,7,1,4,1203,train/anger/5_image0027955.jpg
keras,2026,8,7,1,5,990,train/anger/5_image0018102.jpg
keras,2026,8,7,1,6,7339,train/neutral/5_ffhq_2005.png
keras,2026,8,7,1,7,2605,train/disgust/10_image0021650.jpg
keras,2026,8,7,1,8,10046,train/surprise/5_image0026669.jpg
keras,2026,8,7,1,9,8631,train/sad/5_image0012798.jpg
keras,2026,8,7,1,10,8093,train/sad/15_image0002169.jpg
keras,2026,8,7,1,11,5767,train/happy/15_ffhq_371.png
keras,2026,8,7,1,12,5008,train/fear/5_image0039876.jpg
keras,2026,8,7,1,13,6633,train/neutral/10_ffhq_4357.png
keras,2026,8,7,1,14,6512,train/neutral/10_ffhq_2486.png
keras,2026,8,7,1,15,6963,train/neutral/15_ffhq_2707.png
keras,2026,8,7,1,16,4665,train/fear/5_image0020353.jpg
keras,2026,8,7,1,17,5192,train/happy/10_ffhq_2261.png
keras,2026,8,7,1,18,3291,train/disgust/15_image0040896.jpg
keras,2026,8,7,1,19,4942,train/fear/5_image0038280.jpg
keras,2026,8,7,1,20,9199,train/surprise/10_image0027350.jpg
keras,2026,8,7,1,21,4088,train/fear/10_image0038642.jpg
keras,2026,8,7,1,22,7147,train/neutral/15_ffhq_5378.png
keras,2026,8,7,1,23,7062,train/neutral/15_ffhq_4282.png
keras,2026,8,7,1,24,8482,train/sad/15_image0029269.jpg
keras,2026,8,7,1,25,6207,train/happy/5_ffhq_3650.png
keras,2026,8,7,1,26,5962,train/happy/5_ffhq_1093.png
keras,2026,8,7,1,27,8649,train/sad/5_image0014675.jpg
keras,2026,8,7,1,28,1596,train/contempt/10_image0040266.jpg
keras,2026,8,7,1,29,514,train/anger/15_image0012456.jpg
keras,2026,8,7,1,30,547,train/anger/15_image0016260.jpg
keras,2026,8,7,1,31,4360,train/fear/15_image0034676.jpg
keras,2026,8,7,2,0,1258,train/anger/5_image0030401.jpg
keras,2026,8,7,2,1,6409,train/neutral/10_ffhq_1487.png
keras,2026,8,7,2,2,4955,train/fear/5_image0038569.jpg
