framework,seed,epoch,schedule_index,batch_index,position_in_batch,sample_index,relative_path
pytorch,42,24,23,1,0,2302,train/contempt/5_image0035114.jpg
pytorch,42,24,23,1,1,5625,train/happy/15_ffhq_2159.png
pytorch,42,24,23,1,2,3038,train/disgust/15_image0025172.jpg
pytorch,42,24,23,1,3,2968,train/disgust/10_image0042199.jpg
pytorch,42,24,23,1,4,2449,train/contempt/5_image0040120.jpg
pytorch,42,24,23,1,5,22,train/anger/10_image0002961.jpg
pytorch,42,24,23,1,6,8041,train/sad/10_image0029199.jpg
pytorch,42,24,23,1,7,4172,train/fear/10_image0040886.jpg
pytorch,42,24,23,1,8,7591,train/neutral/5_ffhq_5170.png
pytorch,42,24,23,1,9,6549,train/neutral/10_ffhq_2802.png
pytorch,42,24,23,1,10,3536,train/disgust/5_image0035989.jpg
pytorch,42,24,23,1,11,313,train/anger/10_image0025093.jpg
pytorch,42,24,23,1,12,2027,train/contempt/15_image0040490.jpg
pytorch,42,24,23,1,13,8023,train/sad/10_image0028830.jpg
pytorch,42,24,23,1,14,5099,train/happy/10_ffhq_1338.png
pytorch,42,24,23,1,15,8645,train/sad/5_image0014376.jpg
pytorch,42,24,23,1,16,2240,train/contempt/5_image0031152.jpg
pytorch,42,24,23,1,17,7663,train/neutral/5_ffhq_86.png
pytorch,42,24,23,1,18,6175,train/happy/5_ffhq_3327.png
pytorch,42,24,23,1,19,3818,train/fear/10_image0023299.jpg
pytorch,42,24,23,1,20,377,train/anger/10_image0027882.jpg
pytorch,42,24,23,1,21,5576,train/happy/15_ffhq_1710.png
pytorch,42,24,23,1,22,440,train/anger/15_image0000343.jpg
pytorch,42,24,23,1,23,8305,train/sad/15_image0022185.jpg
pytorch,42,24,23,1,24,2773,train/disgust/10_image0036810.jpg
pytorch,42,24,23,1,25,10030,train/surprise/5_image0024887.jpg
pytorch,42,24,23,1,26,10229,train/surprise/5_image0034336.jpg
pytorch,42,24,23,1,27,9869,train/surprise/5_ffhq_570.png
pytorch,42,24,23,1,28,2970,train/disgust/10_image0042240.jpg
pytorch,42,24,23,1,29,803,train/anger/15_image0028856.jpg
pytorch,42,24,23,1,30,3136,train/disgust/15_image0035967.jpg
pytorch,42,24,23,1,31,2332,train/contempt/5_image0036161.jpg
pytorch,42,24,23,2,0,3374,train/disgust/5_ffhq_46.png
pytorch,42,24,23,2,1,4664,train/fear/5_image0020241.jpg
pytorch,42,24,23,2,2,6749,train/neutral/10_ffhq_608.png
pytorch,42,24,23,2,3,2429,train/contempt/5_image0039409.jpg
pytorch,42,24,23,2,4,8536,train/sad/5_image0000382.jpg
pytorch,42,24,23,2,5,7073,train/neutral/15_ffhq_4390.png
pytorch,42,24,23,2,6,8546,train/sad/5_image0003059.jpg
pytorch,42,24,23,2,7,9644,train/surprise/15_image0029785.jpg
pytorch,42,24,23,2,8,3413,train/disgust/5_image0020483.jpg
pytorch,42,24,23,2,9,6049,train/happy/5_ffhq_2183.png
pytorch,42,24,23,2,10,839,train/anger/15_image0030683.jpg
pytorch,42,24,23,2,11,4729,train/fear/5_image0030613.jpg
pytorch,42,24,23,2,12,3390,train/disgust/5_image0011440.jpg
pytorch,42,24,23,2,13,3333,train/disgust/15_image0041703.jpg
pytorch,42,24,23,2,14,5044,train/fear/5_image0040624.jpg
pytorch,42,24,23,2,15,3913,train/fear/10_image0033419.jpg
pytorch,42,24,23,2,16,6097,train/happy/5_ffhq_2651.png
pytorch,42,24,23,2,17,7948,train/sad/10_image0025679.jpg
pytorch,42,24,23,2,18,1942,train/contempt/15_image0038032.jpg
pytorch,42,24,23,2,19,4287,train/fear/15_image0030704.jpg
pytorch,42,24,23,2,20,5419,train/happy/10_ffhq_472.png
pytorch,42,24,23,2,21,8134,train/sad/15_image0008539.jpg
pytorch,42,24,23,2,22,4306,train/fear/15_image0031963.jpg
pytorch,42,24,23,2,23,9075,train/surprise/10_image0014576.jpg
pytorch,42,24,23,2,24,5559,train/happy/15_ffhq_1577.png
pytorch,42,24,23,2,25,2086,train/contempt/15_image0041781.jpg
pytorch,42,24,23,2,26,8466,train/sad/15_image0028817.jpg
